,0,1
166,"('R4291;R1538', 'R4130', 'R1993')",4.2616473785684384e-06
167,"('R4291;R1538', 'R4130', 'R3715')",4.665681822623675e-06
168,"('R4291;R1538', 'R2752', 'R2429')",0.00015684580778977395
169,"('R4291;R1538', 'R3715', 'R2428')",8.29650146252655
170,"('R4291;R1538', 'R1532', 'R1426')",0.0002219573061815653
171,"('R4291;R1538', 'R1321', 'R1993')",1.0465030399988732e-05
172,"('R4291;R1538', 'R2428', 'R3715')",1.433685108321802e-05
173,"('R4291;R1538', 'R2264', 'R4063')",7.993741685662227e-06
174,"('R4291;R1538', 'R2428', 'R1992')",0.00017018874509070467
175,"('R4291;R1538', 'R3457', 'R4063')",1.4352096634423432e-05
176,"('R4291;R1538', 'R1992', 'R2428')",5.176166746240687e-05
177,"('R4291;R1538', 'R3392', 'R3457')",1.5493903212437034e-05
178,"('R4291;R1538', 'R4063', 'R2264')",2.527311553658495e-05
179,"('R4291;R1538', 'R4063', 'R3457')",0.0011168012340886007
180,"('R4291;R1538', 'R1993', 'R1321')",6.804875518986555e-06
181,"('R4291;R1538', 'R2752', 'R3935')",4.01505144401275e-05
182,"('R4291;R1538', 'R2428', 'R1532')",0.0008739083348415022
183,"('R4291;R1538', 'R3457', 'R3392')",3.716324076291568e-05
184,"('R4291;R1538', 'R3195', 'R3457')",0.00013106729696744018
185,"('R4291;R1538', 'R1426', 'R1532')",0.0020097584713993327
186,"('R4291;R1538', 'R1532', 'R2428')",1.6524893252470912e-05
187,"('R4291;R1538', 'R3457', 'R3195')",0.00015451509612665571
188,"('R4291;R1538', 'R3935', 'R2752')",0.003790973273418982
189,"('R4291;R1538', 'R2429', 'R2752')",0.007902585312439257
190,"('R4291;R1538', 'R3973', 'R3392')",0.00011850807873950436
191,"('R4291;R1538', 'R3392', 'R3973')",0.0015080797378501138
192,"('R4291;R1538', 'R2389', 'R3935')",8.029223006804934e-05
193,"('R4291;R1538', 'R4130', 'R3521')",6.555331521788343e-06
194,"('R4291;R1538', 'R4130', 'R4272')",6.40366944238134e-06
